one,two,three,four,key
0.197041,-0.185502,0.842247,-0.845529,S
-1.855292,1.501102,-1.369761,0.398218,K
1.348991,0.227149,0.003001,-1.794948,P
-2.969871,0.418552,1.291470,0.864200,R
-0.177793,-0.403796,0.589840,-1.836683,K
1.521158,-1.250963,-0.178394,0.064748,X
0.239343,1.546799,0.575040,0.649647,A
-0.496337,-1.064822,-2.017292,-0.167467,Z
1.719930,-0.369103,0.066832,0.907903,W
-0.153204,-0.115727,-0.334478,0.518605,T
0.045074,-0.141673,-0.867322,0.939296,T
0.238216,2.091237,-1.030544,0.252933,Y
0.076397,-1.543025,-0.283587,0.140813,V
0.550954,0.029486,-1.060693,2.036973,L
0.112616,-0.564746,0.777620,-0.774862,B
-0.126901,-0.450130,0.614227,0.624060,Q
0.038954,-0.823758,2.658379,-0.829913,I
-1.349870,-0.657413,-0.749038,0.351044,V
0.923952,-0.729638,-2.322285,-1.014748,H
0.560479,0.102077,0.640382,-0.073042,V
0.095542,0.688530,-0.658718,0.335405,F
1.133454,-1.061115,1.611693,-1.170071,F
-0.583916,1.237848,-2.301468,-1.388635,O
0.123258,0.305190,1.531532,-0.711128,U
-1.230453,-0.856485,0.139269,0.981225,W
0.647299,-1.215410,-0.734279,-0.223560,L
-0.330691,-0.409781,-0.150307,-0.612009,G
0.049527,-1.427848,1.085915,-0.339807,A
0.567838,0.254151,1.290955,0.877447,K
1.544232,0.274393,2.222807,1.035021,F
0.633329,0.371573,0.809728,-1.359699,W
0.540101,-0.849281,-2.445935,-0.063104,I
0.753558,-1.193514,-0.260385,1.260668,S
2.262327,-0.861811,-0.417058,-0.846038,K
-0.569905,1.164491,0.700894,0.207782,S
0.070008,-0.012998,1.093610,0.620367,Y
-0.013433,-0.575553,-1.331187,0.826166,F
1.285840,-2.296937,1.428137,-0.291357,G
0.610744,-0.013326,-0.947388,-1.746428,X
-0.550793,-0.673545,0.147494,0.855244,K
1.220428,-0.283192,0.112861,0.051647,Y
1.531379,-0.088336,1.869585,1.865870,M
0.448820,0.557068,0.824721,-0.391336,M
-0.124067,-0.461784,0.374458,0.355756,Q
0.609358,1.073499,-1.436700,-0.640040,M
1.487950,-0.145598,-2.261390,-1.192243,F
-0.273230,-0.698596,-0.969843,-1.047661,O
0.453758,-0.161203,-1.480127,0.471088,R
-0.278151,0.150044,-0.729301,0.333674,M
-0.852368,0.790001,1.868647,-0.153774,A
0.769748,1.038270,0.397197,-0.204266,P
0.357579,1.081582,0.817300,-0.075648,J
-0.272026,0.277709,0.396282,0.205440,Y
-0.580761,0.249590,0.601646,0.392249,E
0.226313,0.582692,1.203186,-0.112845,X
0.343904,-1.579709,2.481845,2.340872,E
-0.010957,-0.621400,1.019777,1.074741,V
-1.321961,0.477882,1.059824,-1.868470,R
-1.200764,-0.764026,-0.202240,1.281284,B
-0.840092,-0.731495,-0.020169,1.347879,E
0.033728,1.776172,0.212694,1.104332,B
-1.827588,-0.052789,-0.033120,1.104495,P
0.002260,-1.004856,0.629418,-1.488424,G
-0.808586,-0.301412,1.636374,1.483948,S
-1.852365,-1.519945,0.738505,-0.777630,I
-0.842230,-0.300163,-0.518572,1.063682,R
1.004368,0.300352,-1.490068,-0.793053,J
1.369218,-0.426947,1.484716,-0.235916,Z
1.018466,0.578991,1.703272,1.005239,J
-0.139822,0.143785,1.318026,-0.460873,J
-1.314830,-0.777691,0.270012,-0.665688,X
0.175714,-0.163768,-1.398234,-1.053259,F
-1.363769,0.150379,0.059471,-1.643065,Y
0.163056,1.302652,-0.011918,-0.441975,H
0.161289,-2.271780,0.237281,1.111457,N
0.537489,0.063322,-2.635593,-1.214635,N
0.394674,0.994062,-0.304809,0.455932,T
0.139721,-1.124851,-0.108711,-1.043150,R
-0.207907,-1.583978,0.112069,0.593078,W
1.424178,-0.356093,0.205709,-1.025634,V
0.471046,-1.378072,-0.743350,0.925837,X
0.544074,1.348417,0.798680,-1.075903,P
0.348524,-1.234259,-0.123922,0.092156,N
-0.280995,-1.502099,-0.661596,-0.045565,Y
0.233629,1.589873,-1.111965,0.680755,M
0.669215,-0.136379,-0.192703,-0.532319,V
0.030669,-0.310682,0.383643,2.103183,X
-0.268867,0.330807,1.494759,-0.477813,J
-0.872221,2.069364,0.458622,0.133976,C
-1.126970,0.062756,0.481471,0.019381,W
1.797222,1.477668,-2.251449,-1.628098,Q
0.734643,-0.187753,0.612437,1.264519,T
0.513712,-0.665985,-0.382691,-0.670526,X
0.803238,1.250034,-0.246843,0.648647,W
0.690360,-0.552230,-1.548006,-0.269804,U
0.739715,-0.456699,-0.234976,1.035142,E
0.808257,-1.398100,-0.402283,1.254515,M
0.387387,-0.762911,0.616160,0.655993,F
0.106337,0.956803,-0.533734,0.717432,G
-0.771410,0.212140,0.788206,1.221485,A
1.440315,0.366041,1.852740,0.666194,N
-0.433668,-1.697039,-1.102976,1.232699,G
-0.869090,0.343218,0.893566,-0.743090,H
-1.139966,1.423627,1.012130,-4.401919,R
-0.886044,0.315471,-0.846631,1.139273,S
-0.080287,-0.059657,-0.115949,0.216714,B
-0.958167,-0.961791,0.610257,-0.152111,V
-0.018067,0.388748,0.224350,0.349970,J
-2.689738,-0.192070,0.266297,-0.829415,U
-3.031264,0.131497,-0.300507,-0.451423,G
1.118104,-1.096474,0.455121,-1.663552,O
-0.567388,0.114991,-1.226715,-0.329922,E
0.458417,0.987838,1.718808,0.387324,W
1.205108,0.636992,-2.191041,0.926538,R
1.354597,0.183806,0.453544,0.336871,K
-0.645282,0.739939,0.428918,0.118270,F
1.971566,1.824971,0.512456,-1.293744,O
-0.360852,1.478539,1.628144,1.336121,D
-1.102082,0.879841,-1.642388,-1.282058,Y
0.623156,-0.298949,0.186293,-1.561973,K
0.206437,0.371118,0.474401,1.813927,G
0.028504,0.085044,0.552956,-0.150637,B
-1.142463,0.285239,0.571219,-0.471597,C
-0.324236,-0.148604,1.847486,0.570498,N
0.440972,0.448396,0.235071,-1.774714,G
-2.020176,1.018647,1.087655,-1.074360,S
1.257824,-0.506664,-2.468571,-0.431007,F
0.328958,0.324383,-0.077209,0.414330,A
-1.570132,-0.343757,1.171487,2.093548,A
0.307612,0.509093,1.335044,-1.253286,G
1.125090,0.257118,-1.077493,0.977407,Q
-0.534212,-0.844886,-0.708405,1.987753,F
0.368962,0.999899,-0.668677,-1.018813,R
1.366475,1.637064,-0.496644,-0.016964,Y
-0.463926,0.009760,0.410742,-0.312942,I
-0.121616,-0.070580,1.334858,-1.784924,S
-1.703504,1.353615,0.100255,1.468377,A
-1.087061,0.584578,-0.586918,1.018894,T
-1.707001,-0.500936,-1.135554,-2.040929,Q
0.779630,0.028489,0.526793,1.345038,M
1.341493,-1.086638,-0.156300,1.809877,H
-1.605422,-0.131496,1.493994,-0.586439,G
-1.433209,-0.026941,-0.344698,-0.830374,G
0.939618,-0.439264,2.458411,-0.086496,T
-1.613322,-1.491296,1.687668,-0.183270,Y
1.253192,0.366879,-0.659846,-0.329514,H
-0.283805,-0.785988,0.012408,1.988242,W
-0.280626,-0.460611,-1.724830,-2.344481,T
0.507687,-0.970349,-0.174079,1.895611,C
-0.726412,0.244405,-0.666874,-0.470460,Z
0.281827,-0.453637,-2.190283,-0.372697,Q
-0.849466,-2.311450,0.080926,-0.904982,K
0.880629,-0.155945,0.233591,0.900674,D
-1.121830,-0.421313,2.079610,-0.181885,P
-1.698697,1.838183,0.882992,-0.202100,Y
-0.288823,-0.883706,1.300535,1.979444,P
0.636054,-0.836153,-0.450798,-0.997981,P
-0.236792,1.265243,-0.152306,-1.620403,C
0.815634,-0.560693,1.145743,-0.887392,A
0.684870,-0.693056,0.459470,-1.130034,O
-0.002585,0.949104,-1.351560,2.259514,V
-0.472606,0.728191,0.835340,-0.284248,C
-0.326545,-2.812240,-0.692653,-0.829765,I
-1.510267,-0.285120,-0.205489,-2.270528,H
2.207664,-0.694266,-0.113561,1.470131,L
-1.407666,1.178398,0.922593,1.332791,W
1.015324,0.577629,-1.055573,1.029984,D
-1.976653,0.200102,0.708383,0.067149,Q
0.237634,-0.595427,0.338467,-0.146120,D
0.574056,2.097133,-1.322708,-0.691183,Z
-1.588792,0.314230,0.580999,0.942929,Q
-0.212245,-0.329891,0.167342,0.977101,F
0.459312,-0.322919,0.892965,-0.014238,N
-0.774462,-0.188791,0.507986,-0.673903,H
-0.172994,-1.170411,0.596204,-0.204303,F
-1.817542,0.677065,-1.596873,1.726391,F
0.579504,-0.262394,0.870259,0.127625,V
0.830165,1.162294,1.278906,0.528366,G
0.586477,0.198507,-0.971187,-0.420386,X
0.953680,-1.513044,0.574967,0.360208,G
-1.201696,-0.633916,1.716592,-0.619458,I
0.341284,-1.346836,0.350045,0.072482,I
0.413970,0.649936,-1.433457,-0.744353,W
-0.634522,0.491145,0.182861,-0.480412,F
-1.324105,-1.505598,-0.580631,0.593412,C
0.726932,1.291128,0.719534,-0.554479,M
0.595338,-0.080659,-0.738853,0.251693,I
-0.646335,0.865006,-0.122439,0.439903,X
-0.252746,-1.812986,0.630854,1.944715,G
0.503497,-0.396607,0.472307,1.044388,R
1.372746,0.969252,-0.833764,-1.054768,B
1.197449,-2.270436,0.150312,0.555305,K
-1.746478,-1.691195,-1.614761,0.631704,N
0.140006,1.672973,0.764627,-0.625400,F
0.826706,-1.000627,1.827783,-0.307861,Y
-1.373123,0.229464,1.382308,0.178872,G
0.721959,-0.654236,0.216670,-1.091946,I
-0.758675,0.229308,0.410162,1.329583,I
0.631891,1.452264,-1.287633,-0.295312,O
-0.398394,-0.239626,-1.591498,0.805915,D
-0.041294,-0.795671,-1.280656,-0.938323,W
-1.579876,-0.116032,0.100078,-0.431007,L
0.753434,2.685149,-0.382862,1.751483,C
0.716928,-0.181394,1.068895,0.700018,O
1.266112,-0.599408,0.409979,-0.674866,B
-0.526029,-1.574186,0.042410,0.681135,K
-0.019807,-0.582078,2.214436,0.432084,M
0.689010,-0.015689,0.447434,1.073062,Z
-1.012990,0.809877,-0.515012,-0.711112,N
-0.155600,0.379339,-0.441290,-1.741648,X
0.479250,0.057370,-0.997008,-1.326883,J
-1.632733,0.361716,0.140694,1.933574,G
-1.599356,-0.793104,0.638266,0.598627,X
0.043173,-0.305268,1.704048,-1.094051,D
-0.783952,-0.420045,0.482316,-0.684632,V
-0.700544,-0.440108,0.197689,0.688195,S
-2.699633,-1.027794,-1.324643,-0.409658,Q
1.130741,-2.133523,0.379734,-0.102193,Y
-0.726724,1.044562,-1.243621,0.726382,J
1.562560,0.087386,-0.698964,1.344979,A
-0.343231,0.530126,2.205264,0.772805,B
-0.164716,0.761361,1.119550,-0.414948,E
1.787843,-0.453953,0.231889,-0.618908,E
3.218196,0.116952,0.521294,-1.396269,O
-0.261268,0.787536,-0.169095,-0.850106,T
1.249904,-0.409594,0.485838,0.521948,G
1.200994,1.857529,-0.600301,-0.299926,B
0.532754,0.524614,-0.239448,2.443425,E
-2.107674,0.086271,1.093422,0.568881,M
0.864371,1.125565,-1.231606,1.603573,P
-2.182307,-0.407064,2.390606,0.126799,G
-0.947812,-1.061816,-0.985844,0.661942,F
-0.138936,-0.908445,-0.220510,0.783085,K
-0.169159,-0.562405,-2.629259,0.261353,V
1.766723,0.059013,-0.658172,0.736800,X
1.970438,0.153686,0.818677,-1.573719,N
-1.902447,-0.287163,-0.467755,-0.859120,Y
0.051704,-1.273876,-0.353786,-0.468418,I
1.143718,2.099987,-1.195922,-0.746773,B
0.765864,-0.491879,-1.019895,0.213474,T
-0.336296,0.596528,-1.145707,0.715690,F
-0.300842,1.034180,0.339089,-0.011332,U
0.252365,-1.042631,-0.657117,0.601592,H
0.937015,-2.065366,-0.390645,1.920169,X
-0.176926,-0.972235,1.793155,0.729563,X
1.164837,0.568881,0.558151,2.321582,Q
0.095624,-0.847959,2.231344,-1.607792,F
-1.622211,0.841582,-1.855734,0.079165,S
-0.822769,-0.751359,-0.192858,0.823245,B
1.035846,-2.120210,-0.802475,-0.728809,S
1.551878,-0.283196,2.591516,0.525772,I
0.497557,-1.065361,0.112773,-0.139005,Q
0.735184,-0.370163,0.795332,-1.489182,E
0.015406,-0.940494,0.353830,0.381136,M
0.294155,1.266089,-0.607542,0.780656,G
-0.896801,-2.092253,0.943517,0.453772,B
2.256100,-0.395058,-0.444204,-0.903476,P
2.671707,1.193614,0.058120,1.491447,I
1.482710,1.306134,-1.140029,0.983081,E
0.293594,-1.351127,0.352603,1.308259,H
1.086712,-0.954853,-0.086325,-0.285061,H
-0.163229,1.718075,0.173617,-0.011324,O
0.477013,-0.237011,-0.865643,-1.944165,K
0.049855,0.916057,-1.451153,0.277200,W
0.448397,0.501685,-0.454608,0.593991,D
-0.038209,0.773435,-1.127587,0.400542,L
-1.300130,1.275493,1.025631,0.277786,S
0.038060,0.036718,0.116895,1.035364,G
0.289477,1.969585,0.951365,-1.781725,O
-0.475641,-1.542373,0.169359,1.792815,V
1.307876,-0.429029,0.349265,1.355566,O
1.763572,0.630547,0.038912,-0.392221,W
0.535562,0.184963,-0.091549,0.577171,D
0.458014,1.906218,0.615130,2.117201,T
1.747790,0.473901,0.718673,-0.769280,J
-0.463194,1.503568,-0.126063,0.533410,T
-1.040358,0.752109,-1.374642,-2.103462,U
0.719994,-0.700000,0.772256,-0.486513,I
0.202381,-0.101326,-1.298609,1.110575,M
1.231504,1.043301,1.835361,-0.588477,G
0.304297,0.424792,-2.355567,-0.580039,F
-0.136655,-0.478905,-0.834310,-0.067626,U
1.399222,-0.991640,0.199231,0.535132,V
-0.049536,-1.440335,1.783716,0.754473,U
0.849712,-0.096013,0.426551,0.893388,F
-0.250641,-0.028321,-0.127405,0.133539,O
-0.218692,-0.103838,-0.560906,0.125280,O
1.665683,0.766842,0.762214,1.342593,E
-0.905087,1.105963,-0.503655,-0.760205,F
0.813677,-0.719048,1.198586,0.235817,Q
-0.119078,1.317729,1.073556,-0.160136,Y
0.943950,1.464057,0.868303,0.274774,A
-0.331000,1.078010,-1.239967,0.838680,Y
2.235803,0.166396,1.600873,1.431073,L
0.854258,1.119978,-0.318489,1.429083,I
0.894653,-0.442838,0.341064,-1.585044,G
-0.624608,0.929302,-0.039315,-0.965360,D
0.627008,1.016576,-0.031008,-1.087527,C
1.140859,-1.395841,0.624974,-0.467021,N
0.512119,-0.223325,-2.634589,-0.081009,F
0.513463,0.805381,-0.817662,-0.330126,Q
0.495479,1.706795,1.342804,-0.247925,B
0.049390,-0.161191,1.207010,0.478590,A
-0.666788,2.055715,0.416833,0.287348,U
0.697323,-0.774339,-1.511308,-0.527626,R
-0.207119,0.625962,-0.587528,-0.697567,J
0.738940,0.800492,-0.031230,-2.069427,O
0.392560,0.707310,0.069343,-1.143767,P
0.846116,0.817222,0.846585,1.456530,K
-0.439729,-1.554613,-0.974088,-0.189860,Y
0.449815,1.321120,0.515608,0.772457,Z
-0.021749,2.146105,-0.257827,-0.318694,N
-0.190741,0.690668,-0.052269,-1.007045,S
0.207497,0.254618,0.672406,-1.585912,M
-0.269801,0.358740,0.942116,0.191952,H
-0.776351,0.240394,-0.159603,0.623256,B
-0.963064,0.607560,-1.869246,0.707414,G
0.666380,1.173513,-1.260449,-1.284315,X
-0.167998,0.052302,1.130265,-0.687217,L
1.399562,1.437558,0.047926,-0.649944,H
-1.143162,0.803800,0.112954,-0.954687,I
-1.834863,1.542060,-0.883413,0.009450,B
-0.947155,0.009534,1.140841,-1.294728,F
-0.282562,-0.771699,0.778274,-1.118121,N
-1.325162,1.457825,-0.064406,0.012466,S
0.000186,1.651346,-1.043714,-2.202739,T
1.455638,0.464522,-0.687030,0.157683,P
-0.139323,-0.248092,0.806653,-0.244552,X
-0.506669,-0.300234,-1.026681,-1.086785,W
0.179981,-1.798741,-0.088574,1.475035,V
0.439629,0.681052,1.009685,-0.154760,U
-0.672426,0.492333,1.294925,1.762128,W
1.004350,-0.189363,1.764845,1.930348,I
-0.201792,-0.434781,-2.254019,-0.155864,L
1.554626,-0.498641,-0.678827,0.797971,U
1.274904,1.246972,2.016468,-0.443914,K
-0.295934,0.967864,-0.095920,-0.987969,V
1.058665,-0.434107,0.263998,-0.925660,C
-0.366666,-1.191644,0.467886,0.082574,N
0.182669,-2.324920,0.746972,1.463631,R
0.812691,-0.770127,-0.207527,-0.369324,P
0.200073,-0.936372,-0.541148,1.357651,G
2.905080,0.454645,-0.552035,-0.325642,U
-1.317757,-1.443969,0.452908,0.069815,B
0.358832,-0.064157,-0.298135,1.203812,R
0.649786,0.265109,-0.815694,-1.293589,M
1.099522,-0.057869,-1.260412,-1.412747,R
0.833943,-1.301566,0.724523,-0.799772,Q
-0.250628,-0.566087,-0.297961,-0.914503,Z
0.937232,0.490714,-0.180393,0.791537,E
-0.171721,0.512078,-1.054152,0.720128,T
0.775698,-0.054334,-1.112023,2.812669,W
0.402500,-1.105186,-1.149634,-1.557261,Y
1.026140,-1.407278,1.432885,1.115479,A
-0.226139,-0.684925,-0.641670,-0.346056,N
0.338870,-1.579724,1.457056,0.535735,S
0.462920,1.090442,1.800387,-1.297554,C
0.364431,-0.046606,1.137722,1.252790,K
0.744197,-0.991345,0.304180,-0.302692,R
0.623243,-1.140709,0.215605,-2.604941,Q
-2.090580,-1.488029,0.239874,0.465149,H
-0.621026,0.064669,-0.508354,0.084840,M
0.024694,1.105160,-1.390915,-1.041253,Y
1.829784,-1.498184,-0.789236,-0.132230,C
-1.594660,-0.781984,0.252686,-1.116891,N
1.192218,-1.221646,-1.526528,0.674409,B
-1.162342,-0.334487,-0.483828,1.221931,U
0.922524,-0.634996,0.459257,0.691730,H
0.533328,0.671373,0.112959,-0.738812,R
1.028037,-0.299364,-0.363729,-0.377257,W
-0.556542,1.563618,0.033154,0.784678,T
-1.565592,-0.543326,-0.561331,-0.489460,Y
-0.189597,0.010202,-0.152781,1.265414,H
0.127297,-1.663300,-1.416127,0.157944,M
-2.657608,-0.638729,-0.905620,0.537385,F
0.019834,0.766351,0.222334,-0.417619,A
-0.538249,-0.365525,-0.389579,1.198888,X
-0.431965,1.566623,0.354165,0.125654,N
0.541160,-0.401999,-0.968088,1.117866,U
1.513498,0.348184,-0.477338,-1.463932,A
0.824871,0.282752,-0.594077,-1.060057,U
0.448151,0.610942,2.623316,0.969203,E
-1.361191,1.477787,1.145216,0.972220,H
1.246022,-2.333641,-0.448531,0.443480,E
-1.406696,1.570541,0.365353,-1.428765,M
0.515010,1.553459,0.220127,0.387292,O
-0.740821,2.604404,-0.381794,0.272628,B
-2.911783,0.745226,0.802470,1.015476,V
0.599018,-1.049082,-1.619028,-1.684057,M
0.954096,-1.196742,-2.147362,1.417483,W
-0.432403,1.378962,0.303106,0.970135,H
-0.772660,1.013680,0.879886,-0.221083,D
-1.949986,0.760458,1.281663,-1.287241,B
-0.429579,-2.398143,-0.456985,-0.205389,C
0.228906,0.426151,-0.874212,1.313102,W
0.940640,-0.153420,1.106386,-1.512067,X
1.792026,-0.016059,-0.142283,-0.630471,S
0.625709,-2.110554,-1.607769,-1.350665,Q
-0.281414,0.951373,0.547571,-0.836419,U
0.055496,-0.923003,0.083128,1.289630,D
0.633900,-0.826623,-0.016982,-0.516101,I
1.246164,-0.789076,-0.968831,0.602653,X
1.410332,-0.313484,0.151910,0.472973,S
-0.539953,-1.177317,-0.454695,0.238329,R
0.110397,2.091475,-0.636226,0.263820,Y
-0.843969,-1.375982,-0.121576,0.662517,P
2.029719,-0.299794,0.107067,-0.530666,M
-0.117771,-0.144145,-0.803455,0.132341,U
0.014841,1.464539,-0.339892,0.434561,W
-0.015881,-0.124838,-0.276637,-0.954508,U
-0.026728,-0.648497,-0.160144,0.805336,O
0.673622,0.689178,0.926257,-0.080614,F
1.308305,0.751770,0.513174,-0.172991,L
-1.196749,1.009069,-0.394611,2.836943,D
-0.939236,-0.129998,0.085044,-0.042342,P
0.613044,-1.217288,-0.422191,-0.916780,H
1.317038,-2.628174,-0.289855,-1.212959,Z
1.162326,-0.426793,1.678780,-1.160910,M
-0.345037,-0.672263,0.263805,-0.465511,Y
-0.450835,-2.009216,1.500339,0.087802,W
-0.305189,-1.101926,0.807415,0.075370,P
-1.525813,-1.213642,-0.486475,-0.068363,Q
0.927487,0.411003,0.611343,-0.483045,S
-0.241842,-0.049318,1.737005,-1.785851,U
1.134422,0.493393,1.101304,0.146495,X
-0.682717,0.417672,1.660133,-0.057655,U
-0.296385,1.839163,-0.771432,1.068249,Z
0.351744,0.026371,0.673486,-0.538697,E
-0.717963,-0.897262,-0.409434,0.321166,W
0.882345,-0.367116,0.643571,-0.478031,D
0.056262,1.241098,-0.267106,0.247988,O
-1.265655,1.425477,-2.609957,-0.660532,Y
-2.338634,2.014064,0.900332,-0.511065,W
0.879093,-0.810317,-0.617482,-2.105892,O
2.574979,0.016113,-1.089233,1.083991,H
-1.349705,-1.132715,-0.426946,-1.309511,G
0.575502,0.309137,-0.769430,-0.695832,V
0.060699,0.014083,0.727200,0.421326,U
0.299532,0.045957,-0.782525,-0.412748,D
-0.794520,-0.593616,-0.306376,-0.595788,G
0.127494,0.251993,1.161837,0.169116,I
-1.480677,0.553696,1.085284,-1.738111,K
0.383830,0.655257,-0.085240,1.043862,T
-0.043349,-0.555733,1.196729,-0.744409,Q
1.057371,-1.344427,2.341534,-0.289156,M
-0.601978,0.687959,-0.854800,-0.361161,G
0.303075,-1.809642,-0.870546,1.795247,G
1.803758,-0.105564,-2.828628,1.094236,G
-0.361845,0.359529,1.164592,2.204313,I
0.376235,1.172378,0.511465,2.103279,V
0.516847,2.022303,-2.835115,-1.154062,D
0.293573,-0.838920,0.724714,0.907318,T
0.582378,-0.433232,1.651497,0.546910,N
0.956881,4.025001,-0.509830,0.950408,V
1.770891,-0.418034,-0.021505,-1.059492,M
-0.070692,-0.308847,-0.482218,-0.043473,X
0.310624,0.839315,-0.326368,1.323351,Y
-0.193996,0.196511,0.830412,0.156606,S
-0.058621,0.259896,-0.841642,-0.579264,G
0.136618,0.790499,0.945953,-1.421772,F
-0.939568,-0.052891,0.995337,0.787212,B
-0.705321,1.671282,0.091183,0.397653,Z
0.330169,-0.566303,0.199123,0.422913,C
-0.285022,0.200020,-1.782955,0.123808,T
0.041216,0.867581,0.502070,0.706226,V
1.135038,-1.159459,-0.110985,-1.637844,X
-1.010378,0.450774,-0.033693,-1.015270,J
0.808023,-1.554583,0.237212,-0.807807,C
-0.938071,-0.251225,-0.201643,-1.549979,R
-0.409767,0.444659,0.002429,-0.240012,K
-0.451595,0.892364,1.124981,0.957554,D
0.439160,-0.854950,1.356261,-0.550970,L
2.074185,-0.839699,-0.010856,-0.300778,J
-1.063700,-0.337427,-0.254621,0.294789,C
0.341009,1.537679,-0.010703,0.439487,D
-1.026943,1.758195,-1.895803,-0.790489,O
0.170428,-1.150622,1.533713,-0.358972,Z
-0.455454,-0.807982,-0.040616,-0.236838,I
-1.264863,-0.238460,1.624090,-0.219359,E
0.392951,-0.999102,0.303978,-0.993722,I
-0.618789,-0.670921,0.237683,-1.252760,D
0.740520,0.484305,0.735559,-0.877569,E
0.066522,1.447348,2.573168,-1.570859,X
0.120891,-0.834734,0.023535,-1.726517,X
-1.254900,0.722377,-0.597126,1.022513,O
-1.053244,-0.380230,-0.162347,-1.191145,I
-0.535082,0.736013,-0.854575,-1.133308,B
-2.214828,1.101457,-0.377837,-1.265475,S
-0.549473,1.053605,-0.198791,-0.499937,X
-0.084177,0.979819,0.440300,1.675015,Q
1.366728,-2.482639,-0.304377,-0.600715,X
0.249738,0.268951,0.122862,-0.623594,V
-0.719227,-1.850007,-0.323895,-0.321305,D
